DATE,Open,High,Low,Close,Volume,Adj_Close
3/24/17,17.25,17.5,15.03,15.5,8660500,15.5
3/27/17,15.69,15.69,15,15.23,594200,15.23
3/28/17,15.35,15.35,14.61,14.93,822000,14.93
3/29/17,14.99,15.2,14.75,15.01,282400,15.01
3/30/17,15.09,15.74,14.885,15.03,424700,15.03
3/31/17,15.13,15.72,14.95,15.63,366600,15.63
4/3/17,16.16,16.370001,15.57,16.049999,486500,16.049999
4/4/17,16.059999,16.24,15.66,15.93,185800,15.93
4/5/17,15.97,16.299999,15.758,16.120001,305000,16.120001
4/6/17,15.94,16.799999,15.78,16.629999,525900,16.629999
4/7/17,16.68,16.799999,16.205,16.690001,205600,16.690001
4/10/17,16.700001,16.85,16.35,16.84,171800,16.84
4/11/17,16.9,16.9,16.559999,16.85,407100,16.85
4/12/17,16.799999,17.18,16.65,17,285500,17
4/13/17,17.01,17.24,16.85,17,259900,17
4/17/17,17.09,17.09,15.818,16.280001,343400,16.280001
4/18/17,16.389999,16.57,16.030001,16.34,292600,16.34
4/19/17,16.5,16.92,16.15,16.52,362700,16.52
4/20/17,16.58,16.6,15.34,15.5,427600,15.5
4/21/17,15.52,15.91,15.42,15.43,302300,15.43
4/24/17,15.41,15.41,14.8,14.8,537900,14.8
4/25/17,14.86,15.48,14.79,15.36,342700,15.36
4/26/17,15.35,15.85,15.15,15.17,197500,15.17
4/27/17,15.11,15.737,15.11,15.21,138100,15.21
4/28/17,15.28,15.99,15.28,15.99,176400,15.99
5/1/17,16.040001,16.040001,15.7,15.95,114300,15.95
5/2/17,15.96,16.91,15.71,16.73,405700,16.73
5/3/17,16.620001,17.1,16.347,17.049999,163700,17.049999
5/4/17,17.01,18.200001,17.01,18.09,304700,18.09
5/5/17,18.1,19.389999,18.02,18.9,438100,18.9
5/8/17,18.940001,19.23,18.51,18.57,189800,18.57
5/9/17,18.5,18.68,17.653999,18.48,126800,18.48
5/10/17,18.33,18.629999,18.01,18.48,238100,18.48
5/11/17,18.75,20.15,18.040001,18.99,599800,18.99
5/12/17,19.059999,19.079,18.51,18.549999,155800,18.549999
5/15/17,18.6,18.76,18.1,18.200001,294300,18.200001
5/16/17,18.129999,18.368999,17.49,17.52,271500,17.52
5/17/17,17.459999,17.503,16.709999,16.889999,288600,16.889999
5/18/17,16.9,17.5,16.66,17.469999,100400,17.469999
5/19/17,17.450001,17.976,17.371,17.809999,99000,17.809999
5/22/17,17.790001,18.929001,17.74,18.870001,194300,18.870001
5/23/17,18.91,19.318001,18.83,19.15,159900,19.15
5/24/17,19.23,19.23,18.52,18.870001,96000,18.870001
5/25/17,18.709999,19.49,18.639999,19.200001,120600,19.200001
5/26/17,19.24,20.43,19.059999,19.83,328300,19.83
5/30/17,19.9,19.9,18.49,18.620001,220300,18.620001
5/31/17,18.58,19.129999,18.1,18.860001,94400,18.860001
6/1/17,19.01,19.75,18.77,19.440001,238600,19.440001
6/2/17,19.6,20.5,19.389999,20.469999,303400,20.469999
6/5/17,20.26,20.5,19.73,20.34,185900,20.34
6/6/17,20.379999,20.43,19.15,19.4,150700,19.4
6/7/17,19.83,19.83,17.9,18.049999,287400,18.049999
6/8/17,18.200001,19.632,18.200001,19.35,363100,19.35
6/9/17,19.35,19.9,19.01,19.42,229900,19.42
6/12/17,19.25,19.458,18,18.799999,552000,18.799999
6/13/17,18.799999,19.615,18.52,19.379999,319700,19.379999
6/14/17,19.35,19.75,19.030001,19.26,243400,19.26
6/15/17,19.25,19.4,18.299999,18.799999,402900,18.799999
6/16/17,18.74,19.115,18.200001,18.690001,1058500,18.690001
6/19/17,18.860001,19.18,18.370001,18.690001,383900,18.690001
6/20/17,18.66,19.08,18.379999,18.940001,316000,18.940001
6/21/17,19.040001,19.59,18.860001,19.27,329000,19.27
6/22/17,19.280001,19.49,18.98,19.120001,246800,19.120001
6/23/17,19.24,19.700001,19.115,19.57,1041800,19.57
6/26/17,19.57,20.49,19.450001,20.24,584200,20.24
6/27/17,20.25,20.34,19.280001,19.49,294500,19.49
6/28/17,19.68,19.940001,19.540001,19.73,127300,19.73
6/29/17,19.74,19.74,19.35,19.51,266700,19.51
6/30/17,19.49,19.860001,19.360001,19.52,82000,19.52
7/3/17,19.74,19.83,19.290001,19.469999,136700,19.469999
7/5/17,19.440001,19.85,18.9,19.77,122100,19.77
7/6/17,19.540001,19.76,18.860001,19.280001,174000,19.280001
7/7/17,19.299999,19.889999,19.299999,19.700001,181900,19.700001
7/10/17,19.75,20.389999,19.530001,19.959999,196200,19.959999
7/11/17,19.83,20.200001,19.68,20.190001,196800,20.190001
7/12/17,20.25,22.200001,20.23,21.690001,444600,21.690001
7/13/17,21.809999,21.950001,21.245001,21.540001,114800,21.540001
7/14/17,21.690001,22.219999,21.530001,22.18,182700,22.18
7/17/17,22.18,22.67,22,22.17,114000,22.17
7/18/17,22.049999,22.780001,21.639999,22.67,184100,22.67
7/19/17,22.75,23.143999,22.09,22.450001,232700,22.450001
7/20/17,22.43,22.68,21.92,22.23,136000,22.23
7/21/17,22.33,22.33,20.68,21.49,187400,21.49
7/24/17,21.57,21.76,21.139999,21.719999,77400,21.719999
7/25/17,21.690001,22.120001,21.32,21.469999,92800,21.469999
7/26/17,21.65,21.65,20.889999,21.24,174300,21.24
7/27/17,21.129999,21.555,20.290001,20.940001,165500,20.940001
7/28/17,21.040001,21.49,20.32,20.35,158500,20.35
7/31/17,20.33,21.143999,19.969999,20.120001,159000,20.120001
8/1/17,20.24,20.24,19.59,19.76,153200,19.76
8/2/17,19.77,20.16,19,19.059999,320300,19.059999
8/3/17,21.99,22.67,20.221001,21.969999,978900,21.969999
8/4/17,21.959999,23.549999,21.478001,22.98,333300,22.98
8/7/17,22.9,22.986,22.271,22.790001,214700,22.790001
8/8/17,22.969999,23.25,22.4,22.77,302200,22.77
8/9/17,22.77,22.82,21.969999,22.15,81000,22.15
8/10/17,22.15,22.15,20.908001,21.15,172700,21.15
8/11/17,20.860001,22.85,20.49,22.5,278100,22.5
8/14/17,22.799999,23.84,22.548,23.440001,226100,23.440001
8/15/17,23.49,23.49,21.870001,22.049999,171100,22.049999
8/16/17,22.26,22.959999,21.950001,22.93,140000,22.93
8/17/17,22.870001,23.200001,22.059999,22.129999,226500,22.129999
8/18/17,22.200001,22.93,22.01,22.629999,128800,22.629999
8/21/17,22.540001,22.721001,22.200001,22.52,71700,22.52
8/22/17,22.57,22.91,22.42,22.59,138100,22.59
8/23/17,22.41,22.790001,22.34,22.52,118500,22.52
8/24/17,22.52,22.698,22.208,22.41,96200,22.41
8/25/17,22.48,22.92,22.190001,22.74,115700,22.74
8/28/17,22.77,22.77,22.190001,22.540001,62800,22.540001
8/29/17,22.34,22.92,22.18,22.860001,142200,22.860001
8/30/17,23.02,24.07,22.99,23.43,254900,23.43
8/31/17,23.65,23.785,23.23,23.59,100900,23.59
9/1/17,23.6,23.77,22.629999,22.809999,154600,22.809999
9/5/17,22.700001,22.959999,22.24,22.799999,117900,22.799999
9/6/17,22.129999,22.59,21.27,22.08,552300,22.08
9/7/17,21.860001,22.17,21.35,21.48,373900,21.48
9/8/17,20.799999,21.040001,19.41,19.530001,5888800,19.530001
9/11/17,19.889999,20.190001,19.76,19.940001,821800,19.940001
9/12/17,20,20.120001,19.34,19.370001,777800,19.370001
9/13/17,19.629999,19.84,19.385,19.68,459000,19.68
9/14/17,19.639999,19.84,18.98,19.01,694200,19.01
9/15/17,19.09,19.26,18.635,18.790001,1262300,18.790001
9/18/17,18.860001,19.75,18.799999,19.52,584400,19.52
9/19/17,19.639999,19.950001,19.35,19.65,529100,19.65
9/20/17,19.610001,19.75,19.01,19.280001,576000,19.280001
9/21/17,19.33,19.57,19,19.01,549900,19.01
9/22/17,19,19.540001,18.799999,19.23,788600,19.23
9/25/17,19.200001,19.290001,18.959999,19.049999,668800,19.049999
9/26/17,19.309999,19.75,19.08,19.290001,604100,19.290001
9/27/17,19.43,19.950001,19.32,19.91,955800,19.91
9/28/17,20,20.6,19.9,20.43,546700,20.43
9/29/17,20.5,20.65,20,20.370001,533500,20.370001
10/2/17,20.5,20.57,20,20.389999,416500,20.389999
10/3/17,19.98,20.639999,19.98,20.4,362700,20.4
10/4/17,20.4,20.690001,20.33,20.559999,436900,20.559999
10/5/17,20.48,20.629999,20.105,20.549999,236100,20.549999
10/6/17,20.360001,21,20.25,20.690001,429100,20.690001
10/9/17,20.610001,21.42,20.58,20.99,444600,20.99
10/10/17,21.120001,21.389999,20.370001,20.950001,351300,20.950001
10/11/17,20.950001,21.290001,20.82,21.129999,418700,21.129999
10/12/17,21.07,21.440001,20.809999,20.91,264500,20.91
10/13/17,21.030001,21.07,20.691,20.940001,181500,20.940001
10/16/17,21.23,21.83,21.049999,21.25,424300,21.25
10/17/17,21.290001,21.549999,20.870001,21.129999,132200,21.129999
10/18/17,21.25,21.49,21.049999,21.33,375200,21.33
10/19/17,21.209999,21.440001,21,21.389999,121100,21.389999
10/20/17,21.5,22.1,21.389999,22.049999,306600,22.049999
10/23/17,22,22.299999,21.940001,22.059999,322800,22.059999
10/24/17,22.1,22.459999,22.1,22.299999,303400,22.299999
10/25/17,22.360001,22.440001,21.6,22.030001,203100,22.030001
10/26/17,22.049999,22.049999,21.690001,21.98,123600,21.98
10/27/17,22.200001,22.273001,21.84,22.219999,103300,22.219999
10/30/17,22.110001,22.190001,21.591,22.07,174000,22.07
10/31/17,22.01,22.6,22.01,22.59,143900,22.59
11/1/17,22.6,22.6,22.159,22.469999,143000,22.469999
11/2/17,22.379999,22.84,22.26,22.530001,102800,22.530001
11/3/17,22.52,22.535,21.950001,22,141500,22
11/6/17,21.969999,22.58,21.969999,22.049999,131100,22.049999
11/7/17,22.120001,22.135,21.450001,21.6,257800,21.6
11/8/17,21.540001,21.870001,21.309999,21.76,251900,21.76
